Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,TSLA,UNH,V,VZ,WMT,AAON
2022-04-18,162.43797302246094,229.22508239746094,152.78500366210938,177.28323364257812,179.85000610351562,216.9141387939453,185.6795196533203,46.53033447265625,154.73760986328125,126.21083068847656,304.4423828125,278.0164794921875,180.29046630859375,111.11620330810547,162.6012725830078,118.34928131103516,58.892005920410156,234.39341735839844,107.3673095703125,78.98435974121094,273.4456787109375,126.0511245727539,21.748537063598633,145.72938537597656,239.46669006347656,174.30726623535156,334.7633361816406,510.82757568359375,208.2988739013672,43.795169830322266,49.84620666503906,34.05014419555664
2022-04-19,164.7307586669922,230.5352783203125,158.11549377441406,179.86830139160156,185.97999572753906,219.02743530273438,190.0283660888672,47.18581771850586,152.90447998046875,130.29043579101562,310.0443115234375,285.0453186035156,185.1057891845703,113.74065399169922,167.56185913085938,120.79991912841797,59.4677619934082,238.44532775878906,110.2464828491211,78.72740936279297,278.10516357421875,131.2414093017578,22.162879943847656,147.90982055664062,245.38111877441406,165.78109741210938,342.7166748046875,514.2899780273438,210.77108764648438,44.09046936035156,50.41220474243164,34.53545379638672
2022-04-20,164.5634765625,232.3641357421875,153.9980010986328,181.1079559326172,183.5500030517578,221.78221130371094,184.90505981445312,48.269195556640625,153.52740478515625,123.04988098144531,314.76025390625,291.8427734375,184.2985382080078,121.81655883789062,168.30319213867188,121.22371673583984,60.28114318847656,238.86546325683594,110.60639953613281,79.3422622680664,279.13836669921875,130.1113739013672,21.448013305664062,151.8439483642578,246.1982421875,167.2397918701172,325.73333740234375,522.2380981445312,212.8133087158203,44.631866455078125,51.04536056518555,35.315879821777344
2022-04-21,163.76641845703125,232.43695068359375,148.29600524902344,178.4940948486328,181.02000427246094,219.4142303466797,175.96910095214844,48.050697326660156,146.45303344726562,120.17539978027344,308.521484375,287.41607666015625,183.92308044433594,123.16399383544922,167.8181610107422,120.28398895263672,60.50960922241211,238.30531311035156,111.47310638427734,79.13119506835938,273.7283935546875,129.71876525878906,20.15106773376465,151.72544860839844,244.758544921875,165.87521362304688,336.260009765625,514.041259765625,211.50392150878906,45.1240348815918,51.122108459472656,36.88328552246094
2022-04-22,159.21022033691406,227.78746032714844,144.35000610351562,173.49691772460938,176.9199981689453,205.04318237304688,170.21034240722656,46.757930755615234,143.22280883789062,116.8267593383789,295.1119384765625,277.92388916015625,178.93878173828125,121.7549057006836,166.15240478515625,116.82914733886719,59.632266998291016,233.56253051757812,109.56343078613281,77.6261978149414,267.1194152832031,123.599609375,19.48412322998047,150.4564666748047,238.25074768066406,162.91075134277344,335.01666259765625,498.2596435546875,203.4131317138672,42.58114242553711,50.15959167480469,36.81114196777344
2022-04-25,160.28285217285156,229.4434356689453,146.07400512695312,176.91807556152344,175.91000366210938,205.42239379882812,173.32801818847656,47.28596496582031,140.14393615722656,118.48625946044922,296.634765625,282.396728515625,180.05577087402344,122.50346374511719,170.2435302734375,116.79228973388672,60.262874603271484,236.0926513671875,109.144775390625,78.40623474121094,273.64068603515625,122.51751708984375,19.870515823364258,151.66946411132812,241.2663116455078,164.1624298095703,332.67333984375,501.4446716308594,205.15248107910156,41.244075775146484,50.18516159057617,36.109432220458984
2022-04-26,154.29978942871094,227.3507080078125,139.39100646972656,171.6806640625,167.0399932861328,199.35546875,168.86997985839844,46.339149475097656,139.28965759277344,114.35726165771484,288.9747619628906,277.784912109375,176.1602783203125,119.94068145751953,169.02627563476562,113.33744049072266,59.449485778808594,232.0780792236328,105.9277114868164,77.5252685546875,263.40545654296875,115.41199493408203,18.758275985717773,149.09417724609375,263.9804382324219,162.4873046875,292.1400146484375,491.41131591796875,196.50469970703125,40.530426025390625,49.660743713378906,33.39433288574219
2022-04-27,154.073486328125,226.3680419921875,138.16700744628906,170.70042419433594,154.4600067138672,202.82496643066406,173.43724060058594,44.89162063598633,139.0316162109375,113.80410766601562,289.0762939453125,279.3037109375,174.92123413085938,118.94550323486328,166.66493225097656,111.8633804321289,59.91557693481445,230.73370361328125,105.92037963867188,77.46104431152344,276.07757568359375,116.1014633178711,18.385866165161133,148.69300842285156,271.77239990234375,163.3248748779297,293.836669921875,491.4400634765625,209.21739196777344,39.75114059448242,49.32178497314453,32.13515090942383
2022-04-28,161.03076171875,216.6687774658203,144.59649658203125,174.88075256347656,154.22000122070312,201.38409423828125,184.4185791015625,46.09334182739258,143.97032165527344,113.88313293457031,293.8568115234375,288.71258544921875,178.2722930908203,119.54439544677734,167.90968322753906,113.63225555419922,60.49134063720703,237.315673828125,108.07240295410156,81.2877426147461,282.325927734375,121.66522216796875,19.750699996948242,152.47190856933594,273.64984130859375,164.21890258789062,292.5033264160156,501.58807373046875,215.61773681640625,39.70193099975586,49.95173263549805,32.849998474121094
2022-04-29,155.13626098632812,212.17398071289062,124.28150177001953,167.89434814453125,148.83999633789062,199.5829315185547,174.68826293945312,44.591190338134766,139.41424560546875,110.26778411865234,281.93310546875,278.1924133300781,181.64208984375,116.4355697631836,165.16395568847656,109.96551513671875,59.04737091064453,232.6195831298828,105.9277114868164,81.388671875,270.5213317871094,119.41482543945312,18.517658233642578,149.8033447265625,267.47265625,160.98155212402344,290.2533264160156,486.40899658203125,208.25978088378906,37.97932815551758,48.92206954956055,31.96464729309082
