Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,TSLA,UNH,V,VZ,WMT
2022-04-22,159.21022033691406,227.78749084472656,144.35000610351562,173.49693298339844,176.9199981689453,205.04319763183594,170.21035766601562,46.757930755615234,143.2228240966797,116.8267593383789,295.1119079589844,277.9238586425781,178.9387664794922,121.75489807128906,166.1524200439453,116.82914733886719,59.63226318359375,233.5625457763672,109.56342315673828,77.62620544433594,267.1193542480469,123.59961700439453,19.48412322998047,150.45648193359375,238.25071716308594,162.9107666015625,335.01666259765625,498.2595520019531,203.4131317138672,42.581138610839844,50.15958786010742
2022-04-25,160.28285217285156,229.44342041015625,146.07400512695312,176.91806030273438,175.91000366210938,205.42239379882812,173.32803344726562,47.28596115112305,140.14393615722656,118.48625946044922,296.6346740722656,282.3968200683594,180.0557861328125,122.50349426269531,170.2435302734375,116.79228210449219,60.262855529785156,236.09263610839844,109.14476013183594,78.40624237060547,273.640625,122.51750946044922,19.870513916015625,151.66944885253906,241.2663116455078,164.1624298095703,332.67333984375,501.4446105957031,205.1524658203125,41.24407196044922,50.18516540527344
2022-04-26,154.2998046875,227.3507080078125,139.39100646972656,171.68064880371094,167.0399932861328,199.35548400878906,168.86996459960938,46.33915328979492,139.28965759277344,114.35726928710938,288.9747314453125,277.7849426269531,176.1602783203125,119.94066619873047,169.0262451171875,113.33744049072266,59.44948959350586,232.0780792236328,105.92772674560547,77.5252685546875,263.4054260253906,115.4119873046875,18.75827407836914,149.09420776367188,263.98046875,162.48728942871094,292.1400146484375,491.411376953125,196.5046844482422,40.530426025390625,49.660743713378906
2022-04-27,154.073486328125,226.36805725097656,138.16700744628906,170.70045471191406,154.4600067138672,202.82498168945312,173.43722534179688,44.89161682128906,139.03160095214844,113.80410766601562,289.0762634277344,279.3037109375,174.92123413085938,118.94549560546875,166.66493225097656,111.86336517333984,59.91558074951172,230.73367309570312,105.92036437988281,77.46101379394531,276.07763671875,116.10147857666016,18.3858642578125,148.6929931640625,271.77239990234375,163.32485961914062,293.836669921875,491.4400939941406,209.21742248535156,39.75115203857422,49.321781158447266
2022-04-28,161.0307159423828,216.6687774658203,144.59649658203125,174.88075256347656,154.22000122070312,201.38409423828125,184.41856384277344,46.09334182739258,143.9702911376953,113.88312530517578,293.8568115234375,288.7126159667969,178.27227783203125,119.54437255859375,167.90966796875,113.63225555419922,60.4913444519043,237.31570434570312,108.07240295410156,81.28773498535156,282.3259582519531,121.66522216796875,19.750703811645508,152.47190856933594,273.6497497558594,164.2188720703125,292.5033264160156,501.5881042480469,215.6177520751953,39.701934814453125,49.95173263549805
2022-04-29,155.13626098632812,212.17401123046875,124.28150177001953,167.89439392089844,148.83999633789062,199.5829620361328,174.6882781982422,44.591190338134766,139.41421508789062,110.26779174804688,281.93304443359375,278.1923828125,181.64212036132812,116.43556213378906,165.16395568847656,109.96551513671875,59.047367095947266,232.6195831298828,105.92772674560547,81.388671875,270.52130126953125,119.41482543945312,18.517656326293945,149.8033447265625,267.47271728515625,160.98153686523438,290.2533264160156,486.4090270996094,208.25979614257812,37.979331970214844,48.92206573486328
2022-05-02,155.44131469726562,210.10858154296875,124.5,164.92489624023438,148.61000061035156,201.03335571289062,176.30670166015625,45.3923454284668,142.15501403808594,112.1149673461914,286.4829406738281,284.2767028808594,184.79605102539062,117.16651916503906,163.49822998046875,110.96971130371094,57.97809600830078,230.26690673828125,107.16899871826172,80.43429565429688,277.296142578125,120.73634338378906,19.50209617614746,147.77859497070312,261.4610290527344,160.06871032714844,300.9800109863281,479.3311767578125,206.69635009765625,37.92190170288086,48.599090576171875
2022-05-03,156.93704223632812,211.26412963867188,124.25350189208984,165.39581298828125,153.5800018310547,202.5026397705078,177.091064453125,45.446956634521484,144.59320068359375,112.16436004638672,290.39605712890625,282.4153137207031,184.9556121826172,116.70857238769531,163.17788696289062,113.34664916992188,57.64909362792969,229.5479736328125,108.76282501220703,79.92957305908203,274.67388916015625,117.6528091430664,19.57098388671875,145.7538604736328,262.03497314453125,161.6403045654297,303.0833435058594,477.86785888671875,203.79425048828125,38.69297790527344,48.76857376098633
2022-05-04,163.37277221679688,214.8217315673828,125.92849731445312,170.883056640625,156.97000122070312,211.00584411621094,184.160400390625,46.958213806152344,149.13150024414062,114.77214813232422,299.1172790527344,292.00018310546875,193.22531127929688,121.0063247680664,164.9259490966797,117.09632110595703,59.43120193481445,237.43702697753906,113.27992248535156,81.232666015625,282.6671142578125,120.7171859741211,20.301828384399414,146.82687377929688,274.8365783691406,165.11288452148438,317.5400085449219,485.51953125,209.61805725097656,39.67732620239258,49.443302154541016
2022-05-05,154.270263671875,213.22946166992188,116.40699768066406,164.3386993408203,150.47000122070312,204.69241333007812,171.0741729736328,45.16474533081055,147.94796752929688,111.23583221435547,288.92864990234375,276.99774169921875,185.73471069335938,119.70288848876953,161.77757263183594,114.1666030883789,58.955970764160156,232.39553833007812,109.77642059326172,80.7646484375,270.3556213378906,113.60209655761719,18.81418800354004,144.1210174560547,269.4084777832031,161.87557983398438,291.09332275390625,473.18115234375,200.5500946044922,39.24257278442383,49.0196647644043
