,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2022-04-18,162.43792724609375,229.2250518798828,152.78500366210938,177.28323364257812,179.85000610351562,216.9141082763672,185.6795196533203,46.53034210205078,154.73760986328125,126.21083068847656,304.4423522949219,278.0164489746094,180.2904357910156,111.11620330810548,162.60130310058594,118.34929656982422,58.89200210571289,234.3934631347656,107.36731719970705,78.98436737060547,273.4456787109375,126.0511245727539,21.74853706359864,145.72938537597656,239.4666748046875,174.3072967529297,510.8275451660156,208.2989044189453,43.795166015625,49.8462142944336
2022-04-19,164.7307586669922,230.5352935791016,158.11549377441406,179.8682861328125,185.97999572753903,219.02740478515625,190.0283660888672,47.185813903808594,152.90447998046875,130.29042053222656,310.0443420410156,285.0453491210937,185.10581970214844,113.74066162109376,167.56187438964844,120.79991149902344,59.46776580810547,238.44532775878903,110.24649047851562,78.72740936279297,278.1051330566406,131.24139404296875,22.162878036499023,147.9098358154297,245.3811187744141,165.78111267089844,514.2899780273438,210.7710723876953,44.09046936035156,50.412208557128906
2022-04-20,164.56349182128906,232.36415100097656,153.9980010986328,181.1080017089844,183.5500030517578,221.78225708007807,184.90505981445312,48.269187927246094,153.52740478515625,123.04988861083984,314.76025390625,291.8428039550781,184.298568725586,121.8165512084961,168.30320739746094,121.22371673583984,60.28113555908203,238.86550903320312,110.60639190673828,79.3422622680664,279.1384582519531,130.11138916015625,21.448013305664062,151.84393310546875,246.1982421875,167.23976135253906,522.2382202148438,212.81329345703125,44.6318588256836,51.04535675048828
2022-04-21,163.76641845703125,232.4369201660156,148.29600524902344,178.4940643310547,181.0200042724609,219.4142303466797,175.9691162109375,48.05069351196289,146.45303344726562,120.1753921508789,308.521484375,287.41607666015625,183.923080444336,123.16400909423828,167.81814575195312,120.28399658203124,60.50962066650391,238.3052978515625,111.4730987548828,79.13118743896484,273.7284240722656,129.71881103515625,20.15106773376465,151.7254638671875,244.7585906982422,165.87518310546875,514.0411376953125,211.50392150878903,45.1240348815918,51.12210464477539
2022-04-22,159.2102508544922,227.7874755859375,144.35000610351562,173.49691772460938,176.9199981689453,205.043212890625,170.21035766601562,46.75792694091797,143.2228240966797,116.8267593383789,295.1119689941406,277.92388916015625,178.93875122070312,121.75489044189452,166.15240478515625,116.82913970947266,59.632266998291016,233.5625,109.56342315673828,77.62620544433594,267.1192932128906,123.59962463378906,19.48412322998047,150.4564971923828,238.250732421875,162.91079711914062,498.2596435546875,203.41314697265625,42.581146240234375,50.15958404541016
2022-04-25,160.28286743164062,229.44342041015625,146.07400512695312,176.91807556152344,175.91000366210938,205.42237854003903,173.32801818847656,47.28595352172852,140.1439208984375,118.48625946044922,296.6347351074219,282.3968200683594,180.05575561523438,122.50350189208984,170.24349975585938,116.7922821044922,60.26286697387695,236.09266662597656,109.144775390625,78.40624237060547,273.64068603515625,122.51750946044922,19.87051582336425,151.66949462890625,241.2663116455078,164.16241455078125,501.4446105957031,205.1524658203125,41.24407196044922,50.1851692199707
2022-04-26,154.29981994628906,227.35069274902344,139.39100646972656,171.68067932128906,167.0399932861328,199.35543823242188,168.86996459960938,46.339149475097656,139.2896728515625,114.3572769165039,288.9747314453125,277.78497314453125,176.1602783203125,119.940673828125,169.0262451171875,113.33743286132812,59.44948959350586,232.07809448242188,105.9277114868164,77.5252685546875,263.40545654296875,115.4119873046875,18.75827407836914,149.09422302246094,263.98046875,162.4873046875,491.4113159179688,196.50469970703125,40.53042221069336,49.66073226928711
2022-04-27,154.07350158691406,226.3680419921875,138.16700744628906,170.700439453125,154.4600067138672,202.8249969482422,173.43724060058594,44.8916244506836,139.0316162109375,113.80410766601562,289.0762939453125,279.3036804199219,174.9212646484375,118.9455108642578,166.6649627685547,111.86338806152344,59.91558074951172,230.7336578369141,105.92035675048828,77.4610366821289,276.0776062011719,116.1014633178711,18.385862350463867,148.69300842285156,271.7723999023437,163.32485961914062,491.43994140625,209.2174072265625,39.75114822387695,49.32177734375
2022-04-28,161.0307159423828,216.66876220703125,144.59649658203125,174.88075256347656,154.22000122070312,201.38406372070312,184.41856384277344,46.09334564208984,143.97030639648438,113.88312530517578,293.8568115234375,288.7125549316406,178.2722930908203,119.54435729980467,167.90968322753906,113.63224792480467,60.491329193115234,237.315658569336,108.0724105834961,81.28773498535156,282.3259582519531,121.6652374267578,19.750703811645508,152.47189331054688,273.6498413085937,164.2188720703125,501.5880737304688,215.61773681640625,39.70193099975586,49.95172882080078
2022-04-29,155.13623046875,212.17401123046875,124.28150177001952,167.8943634033203,148.83999633789062,199.5829467773437,174.6882781982422,44.591190338134766,139.4142303466797,110.26778411865234,281.93310546875,278.1924133300781,181.64208984375,116.43556213378906,165.16397094726562,109.96549987792967,59.047359466552734,232.6195678710937,105.9277114868164,81.38868713378906,270.5213623046875,119.41482543945312,18.517654418945312,149.8033447265625,267.47271728515625,160.98155212402344,486.4090576171875,208.2598114013672,37.97933197021485,48.92206573486328
2022-05-02,155.44131469726562,210.1085968017578,124.5,164.9248809814453,148.61000061035156,201.03335571289065,176.30667114257812,45.39234161376953,142.15499877929688,112.11497497558594,286.4829406738281,284.27667236328125,184.79608154296875,117.16651916503906,163.49822998046875,110.96971893310548,57.97809982299805,230.2668914794922,107.1689910888672,80.43429565429688,277.2961120605469,120.736328125,19.50209617614746,147.7786102294922,261.4609680175781,160.0686798095703,479.3311767578125,206.6963653564453,37.92190170288086,48.59909439086914
2022-05-03,156.93707275390625,211.2641448974609,124.25350189208984,165.3957977294922,153.5800018310547,202.502685546875,177.091064453125,45.44695663452149,144.5932159423828,112.16436767578124,290.3959655761719,282.41534423828125,184.95559692382807,116.70856475830078,163.17788696289062,113.3466567993164,57.64908981323242,229.5479888916016,108.76282501220705,79.92957305908203,274.6739196777344,117.65282440185548,19.570987701416016,145.7538299560547,262.03497314453125,161.64031982421875,477.8678283691406,203.79425048828125,38.69297409057617,48.76856994628906
2022-05-04,163.37278747558594,214.8217315673828,125.92849731445312,170.883056640625,156.97000122070312,211.0058441162109,184.160400390625,46.95822143554688,149.13150024414062,114.77215576171876,299.1173095703125,292.0002136230469,193.22531127929688,121.00631713867188,164.92596435546875,117.09630584716795,59.43120574951172,237.43704223632807,113.27992248535156,81.23267364501953,282.6671447753906,120.71717834472656,20.301830291748047,146.82688903808594,274.83660888671875,165.1129150390625,485.51953125,209.6180419921875,39.67732238769531,49.44329833984375
2022-05-05,154.270263671875,213.22946166992188,116.40699768066406,164.33871459960938,150.47000122070312,204.6924591064453,171.07418823242188,45.164737701416016,147.94798278808594,111.23583221435548,288.9286193847656,276.99774169921875,185.7347412109375,119.70289611816406,161.777587890625,114.1666030883789,58.95598220825195,232.3955078125,109.77642059326172,80.7646484375,270.3556823730469,113.6020965576172,18.814189910888672,144.12098693847656,269.4085388183594,161.8755645751953,473.1812133789063,200.55010986328125,39.24257278442383,49.0196647644043
2022-05-06,154.99954223632812,215.18565368652344,114.77249908447266,160.62928771972656,148.89999389648438,203.4790496826172,168.49267578125,44.90982818603516,151.8900909423828,108.9441375732422,288.8270568847656,272.5526428222656,183.44435119628903,121.24410247802734,161.4206085205078,113.98234558105467,59.16617202758789,234.13204956054688,109.82782745361328,81.1133804321289,267.8016967773437,109.63755798339844,18.645450592041016,145.55789184570312,265.935791015625,161.52737426757812,477.8678283691406,198.18539428710932,39.59529113769531,47.99908828735352
2022-05-09,149.855224609375,217.67872619628903,108.78900146484376,154.73843383789062,133.30999755859375,195.5541229248047,162.4360809326172,44.57298278808594,141.7100372314453,105.67453002929688,285.0709228515625,275.07159423828125,182.0645446777344,119.83574676513672,162.29925537109375,112.26874542236328,59.047359466552734,231.0604553222656,111.92112731933594,80.42511749267578,257.9076843261719,106.49656677246094,16.923185348510742,145.19400024414062,269.4280090332031,161.79086303710938,465.2425537109375,188.5897827148437,39.88239669799805,48.56072235107422
2022-05-10,152.2696990966797,219.01626586914065,108.85900115966795,155.51683044433594,132.9499969482422,192.42588806152344,165.9608154296875,45.110107421875,143.07154846191406,106.36599731445312,281.5362548828125,269.6355285644531,182.8248748779297,115.10256958007812,162.07958984375,109.53250122070312,58.499019622802734,229.37060546875,109.52669525146484,80.58112335205078,262.7035522460937,104.8494873046875,17.56715965270996,144.4288787841797,259.1166381835937,162.79783630371094,466.7633056640625,189.1565399169922,39.48044967651367,47.87713241577149
2022-05-11,144.3758544921875,218.9525604248047,105.37200164794922,153.17201232910156,129.38999938964844,194.5303192138672,160.12266540527344,44.29076385498047,145.18942260742188,103.92613220214844,278.2969055175781,262.041748046875,180.24349975585932,116.54657745361328,161.20095825195312,108.8415298461914,58.773197174072266,228.2035675048828,107.5362319946289,81.8475341796875,253.9792938232422,103.34601593017578,16.603687286376953,142.39480590820312,257.46295166015625,162.2238006591797,464.9843444824219,192.22479248046875,39.27538299560547,47.3764762878418
2022-05-12,140.4929656982422,222.66485595703125,106.93049621582033,147.29078674316406,123.13999938964844,192.4638061523437,159.27870178222656,43.963016510009766,146.5687255859375,103.03711700439452,276.3219909667969,268.2742004394531,182.01730346679688,118.46302032470705,162.79348754882812,108.7494125366211,58.95598220825195,227.97950744628903,109.87190246582033,83.35250091552734,248.91043090820312,103.3268585205078,16.14940643310547,141.81631469726562,267.06414794921875,163.1554412841797,457.9542236328125,189.899642944336,39.42303466796875,47.33153533935547
2022-05-13,144.9770050048828,221.4638061523437,113.05500030517578,152.55699157714844,127.1999969482422,193.69613647460932,165.72251892089844,45.11922073364258,149.38064575195312,106.02027130126952,283.3173522949219,274.1454162597656,182.59280395507807,119.0870132446289,161.8599395751953,109.7167510986328,60.061805725097656,228.7730712890625,109.65890502929688,82.96707916259766,254.53488159179688,108.22029876708984,17.677988052368164,143.33718872070312,265.8871154785156,162.6002197265625,464.2669067382813,195.0492248535156,39.52146911621094,47.51447296142578
2022-05-16,143.4297637939453,223.6742248535156,110.8105010986328,150.32748413085938,124.0500030517578,196.40733337402344,162.95236206054688,44.60939407348633,153.9545440673828,103.89649963378906,280.04119873046875,274.1083984375,182.99850463867188,120.36165618896484,162.9856719970703,108.9521026611328,60.28113555908203,227.8394927978516,110.540283203125,84.71983337402344,254.9053497314453,107.8276596069336,17.236690521240234,144.73681640625,263.98046875,164.2188720703125,467.9205932617188,193.6590576171875,40.22691345214844,47.56582260131836
2022-05-17,147.07611083984375,225.0316772460937,115.36849975585938,155.5360565185547,132.0500030517578,202.0002593994141,162.56515502929688,46.06603240966797,154.8621826171875,107.31427764892578,288.8363342285156,278.7017517089844,187.8102264404297,123.33880615234376,163.66297912597656,112.56356048583984,60.11663055419922,225.5894775390625,111.89175415039062,85.3438720703125,260.0912475585937,110.98782348632812,18.148237228393555,144.32626342773438,261.9279479980469,166.93861389160156,471.0865173339844,199.7191619873047,40.14488983154297,42.15485763549805
